epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1929.51,1.16938,2.59816,1.61531,0.46307,0.56793,0.46293,0.28283,1.3158,2.7952,1.83363,0.000555064,0.000555064,0.000555064
2,3165.44,1.21596,1.78722,1.6061,0.59349,0.77017,0.62188,0.42614,1.16704,3.24577,1.59245,0.00100077,0.00100077,0.00100077
3,4428.37,1.22072,1.55547,1.60478,0.55084,0.812,0.64217,0.44767,1.17792,3.39661,1.58142,0.00133645,0.00133645,0.00133645
4,5738.97,1.21185,1.40722,1.60297,0.55487,0.81577,0.64073,0.4585,1.10032,2.79132,1.57579,0.0011719,0.0011719,0.0011719
5,6720.31,1.15546,1.36217,1.55243,0.59122,0.76426,0.66583,0.47568,1.09235,3.95605,1.52989,0.00100687,0.00100687,0.00100687
6,7705.18,1.1,1.29298,1.50807,0.56851,0.84215,0.6669,0.47013,1.13858,2.76777,1.54774,0.000841835,0.000841835,0.000841835
7,9428.79,1.10304,1.27592,1.49098,0.60291,0.81543,0.66191,0.4592,1.06372,2.96278,1.46322,0.000676802,0.000676802,0.000676802
8,10463.7,1.10018,1.16513,1.49098,0.56674,0.90134,0.66504,0.48006,1.01661,3.15932,1.42064,0.000511769,0.000511769,0.000511769
9,11386.3,1.03636,1.14799,1.44617,0.5783,0.8417,0.69437,0.51517,1.02157,3.47203,1.43203,0.000346736,0.000346736,0.000346736
10,12296.7,1.02095,1.11818,1.4255,0.58464,0.93076,0.69345,0.51618,1.00887,3.96679,1.40383,0.000181703,0.000181703,0.000181703
